round,accuracy
1.000000000000000000e+00,6.962000000000000410e-01
2.000000000000000000e+00,7.943999999999999950e-01
3.000000000000000000e+00,8.212000000000000410e-01
4.000000000000000000e+00,8.377999999999999892e-01
5.000000000000000000e+00,8.506000000000000227e-01
6.000000000000000000e+00,8.585000000000000409e-01
7.000000000000000000e+00,8.643999999999999462e-01
8.000000000000000000e+00,8.701999999999999735e-01
9.000000000000000000e+00,8.772999999999999687e-01
1.000000000000000000e+01,8.770000000000000018e-01
1.100000000000000000e+01,8.782999999999999696e-01
1.200000000000000000e+01,8.810000000000000053e-01
1.300000000000000000e+01,8.870999999999999996e-01
1.400000000000000000e+01,8.847000000000000419e-01
1.500000000000000000e+01,8.900000000000000133e-01
1.600000000000000000e+01,8.898000000000000353e-01
1.700000000000000000e+01,8.939000000000000279e-01
1.800000000000000000e+01,8.915999999999999481e-01
1.900000000000000000e+01,8.935999999999999499e-01
2.000000000000000000e+01,8.995999999999999552e-01
2.100000000000000000e+01,8.981999999999999984e-01
2.200000000000000000e+01,8.998000000000000442e-01
2.300000000000000000e+01,9.000000000000000222e-01
2.400000000000000000e+01,9.012999999999999901e-01
2.500000000000000000e+01,9.039000000000000368e-01
2.600000000000000000e+01,9.050000000000000266e-01
2.700000000000000000e+01,9.049000000000000377e-01
2.800000000000000000e+01,9.068000000000000504e-01
2.900000000000000000e+01,9.039000000000000368e-01
3.000000000000000000e+01,9.062999999999999945e-01
3.100000000000000000e+01,9.075999999999999623e-01
3.200000000000000000e+01,9.055999999999999606e-01
3.300000000000000000e+01,9.078000000000000513e-01
3.400000000000000000e+01,9.062999999999999945e-01
3.500000000000000000e+01,9.106999999999999540e-01
3.600000000000000000e+01,9.124999999999999778e-01
3.700000000000000000e+01,9.131000000000000227e-01
3.800000000000000000e+01,9.122999999999999998e-01
3.900000000000000000e+01,9.102000000000000091e-01
4.000000000000000000e+01,9.102000000000000091e-01
4.100000000000000000e+01,9.118000000000000549e-01
4.200000000000000000e+01,9.132000000000000117e-01
4.300000000000000000e+01,9.125999999999999668e-01
4.400000000000000000e+01,9.132000000000000117e-01
4.500000000000000000e+01,9.127999999999999448e-01
4.600000000000000000e+01,9.134999999999999787e-01
4.700000000000000000e+01,9.134999999999999787e-01
4.800000000000000000e+01,9.150000000000000355e-01
4.900000000000000000e+01,9.132000000000000117e-01
5.000000000000000000e+01,9.149000000000000465e-01
5.100000000000000000e+01,9.151000000000000245e-01
5.200000000000000000e+01,9.181000000000000272e-01
5.300000000000000000e+01,9.177999999999999492e-01
5.400000000000000000e+01,9.180000000000000382e-01
5.500000000000000000e+01,9.161000000000000254e-01
5.600000000000000000e+01,9.180000000000000382e-01
5.700000000000000000e+01,9.187999999999999501e-01
5.800000000000000000e+01,9.165999999999999703e-01
5.900000000000000000e+01,9.163000000000000034e-01
6.000000000000000000e+01,9.183000000000000052e-01
6.100000000000000000e+01,9.185999999999999721e-01
6.200000000000000000e+01,9.180000000000000382e-01
6.300000000000000000e+01,9.202000000000000179e-01
6.400000000000000000e+01,9.204999999999999849e-01
6.500000000000000000e+01,9.210000000000000409e-01
6.600000000000000000e+01,9.212000000000000188e-01
6.700000000000000000e+01,9.212000000000000188e-01
6.800000000000000000e+01,9.180000000000000382e-01
6.900000000000000000e+01,9.229000000000000536e-01
7.000000000000000000e+01,9.221000000000000307e-01
7.100000000000000000e+01,9.230000000000000426e-01
7.200000000000000000e+01,9.221000000000000307e-01
7.300000000000000000e+01,9.236999999999999655e-01
7.400000000000000000e+01,9.243999999999999995e-01
7.500000000000000000e+01,9.197999999999999510e-01
7.600000000000000000e+01,9.224999999999999867e-01
7.700000000000000000e+01,9.211000000000000298e-01
7.800000000000000000e+01,9.213000000000000078e-01
7.900000000000000000e+01,9.223000000000000087e-01
8.000000000000000000e+01,9.217999999999999527e-01
8.100000000000000000e+01,9.220000000000000417e-01
8.200000000000000000e+01,9.225999999999999757e-01
8.300000000000000000e+01,9.217999999999999527e-01
8.400000000000000000e+01,9.236999999999999655e-01
8.500000000000000000e+01,9.229000000000000536e-01
8.600000000000000000e+01,9.222000000000000197e-01
8.700000000000000000e+01,9.201000000000000290e-01
8.800000000000000000e+01,9.204999999999999849e-01
8.900000000000000000e+01,9.243999999999999995e-01
9.000000000000000000e+01,9.250000000000000444e-01
9.100000000000000000e+01,9.247999999999999554e-01
9.200000000000000000e+01,9.260000000000000453e-01
9.300000000000000000e+01,9.232000000000000206e-01
9.400000000000000000e+01,9.234999999999999876e-01
9.500000000000000000e+01,9.256999999999999673e-01
9.600000000000000000e+01,9.243000000000000105e-01
9.700000000000000000e+01,9.253000000000000114e-01
9.800000000000000000e+01,9.271000000000000352e-01
9.900000000000000000e+01,9.252000000000000224e-01
1.000000000000000000e+02,9.261000000000000343e-01
1.010000000000000000e+02,9.262000000000000233e-01
1.020000000000000000e+02,9.263000000000000123e-01
1.030000000000000000e+02,9.257999999999999563e-01
1.040000000000000000e+02,9.249000000000000554e-01
1.050000000000000000e+02,9.273000000000000131e-01
1.060000000000000000e+02,9.239000000000000545e-01
1.070000000000000000e+02,9.257999999999999563e-01
1.080000000000000000e+02,9.268999999999999462e-01
1.090000000000000000e+02,9.258999999999999453e-01
1.100000000000000000e+02,9.282000000000000250e-01
